Sl No,District,Teshil/Taluk,Area,Center_Type,Center_Name,Center_Address,Contact No,Pincode,Post_Office,Latitude,Longitude,Altitude
128,Theni,Bodinayackanur,Bodinayakanur,Permanent,Bodinayakanur Municipal Office,"The Municipal Office, Near Aranmanai Bus Stop, Bodinayakkanur-625513, Theni District.",9940913245,625513,Bodinayakanur,10° .95' N,77° 21.16' E,381.40m
129,Theni,CHINNAMANUR,Uthamapalayam,Permanent,Chinnamanur Vao Office,"Theradi Street,Near Town Police Station,Vao Office Backside,Chinnamanur",9865574744,625515,Chinnamanur,10° .90' N,77° 21.18' E,294.80m
130,Theni,GUDALUR,Uthamapalayam,Permanent,Gudalur Municipal,"Gudalur Municipal, Near  By Kamatchiamman School,Gudalur",8489542819,625518,Gudalur,10° 7.30' N,77° 32.36' E,271.50m
131,Theni,Kambam (m),Uthamapalayam,Permanent,Cumbam Municipalty,"GH Road, Cumbam, Theni District",9943967976,625516,Cumbum,10° 1.29' N,77° 29.16' E,94.20m
132,Theni,Theni,Theni,Permanent,Theni Collector Office,"Theni Collector Office ,MARURAI Main Road ,THENI",9789678558,625531,Theni,9° 59.71' N,77° 30.18' E,376.50m
133,Theni,Theni,Theni,Permanent,Theni-Allinagaram,Theni Allinagaram Municipal Vivek Honda Bike Company Opp Theni,9659717274,625531,Theni,10° 1.27' N,77° 28.79' E,335.10m
134,Theni,THENKARAI,Periyakulam,Permanent,V.Prabhukumar Periyakulam Municipality,"Periyakulam Municipality, Near Gh Road, Thenkarai,Periyakulam",9600679094,625601,Periyakulam,10° 7.33' N,77° 32.34' E,277.40m
135,Thiruvarur,Kuthanallur,Needamangalam,Permanent,Pec Koothanallur Municipality,"Koothanallur Municipality , A. R Road Koothanallur",9943807211,614101,Koothanallur,10° 42.81' N,79° 30.98' E,66.10m
136,Thiruvarur,Mannargudi,Mannargudi,Permanent,Mannargudi,Mannargudi Munucipal,7373168289,614001,Mannargudi,10° 38.55' N,79° 28.56' E,10.40m
137,Thiruvarur,Thiruthuraipoondi,Thiruthuraipoondi,Permanent,Municipality,Thiruthuraipoondi Minicipality,9843064586,614713,Tiruturaipundi,10° 32.10' N,79° 38.23' E,16.80m
138,Thiruvarur,Thiruvarur,Thiruvarur,Permanent,Thiruvarur,Collector Office,9626459365,610001,Thiruvarur,10° 46.46' N,79° 37.91' E,40.70m
139,Thiruvarur,Thiruvarur,Thiruvarur,Permanent,Thiruvarur Municipality,Thiruvarur Municipality,7010205057,610004,Tiruvarur Collectorate ,10° 46.85' N,79° 36.40' E,58.40m
140,Thoothukkudi,Kayalpatnam,Tiruchendur,Permanent,Kayalpattanam,Kayalpatnam Municipal,8122358070,628204,Kayalpatnam,8° 33.81' N,78° 7.25' E,9.50m
141,Thoothukkudi,Korampallam,Thoothukkudi,Permanent,Collectorate,"Collector Office ,KORAMPALLAM,THOOTHUKUDI",9791567255,628101,Korampollam,8° 47.01' N,78° 5.99' E,12.20m
142,Thoothukkudi,Kovilpatti,Kovilpatti,Permanent,Kovilpatti Municipal,Kovilpatti Municipal School Campus,9025098763,628501,Kovilpatti,9° 10.59' N,77° 52.46' E,103.10m
143,Thoothukkudi,Thoothukkudi,Thoothukkudi,Permanent,Thoothukudi South Zone,"Oldpanjayat Office, Muthaiyapuram,Thoothukudi",9629721731,628005,Muthiahpuram,8° 45.10' N,78° 7.72' E,67.90m
144,Thoothukkudi,Thoothukkudi,Thoothukkudi,Permanent,North Zone,"North Zoneoffice,Thoothukudi",8012005778,628002,Melur Tuticorin,8° 48.96' N,78° 8.40' E,8.80m
145,Thoothukkudi,Thoothukkudi,Thoothukkudi,Permanent,West Zone,Miller Puram,8056396654,628008,Chidambaranagar,8° 47.97' N,78° 7.59' E,15.40m
146,Thoothukkudi,Thoothukkudi,Thoothukkudi,Permanent,Thoothukudi Municipal East Zone,Thoothukudi  Old Municipal Great Cotton Road,8489412808,628002,Melur Tuticorin,8° 48.26' N,78° 9.22' E,16.20m
147,Thoothukkudi,Thoothukkudi,Thoothukkudi,Permanent,Municipal HQ,Municipal HQ,9629788682,628001,Korampollam,,,
148,Tiruchirappalli,Manapparai,Manapparai,Permanent,Manaparai Municipality,"Manaparai Municipality, Madurai Road, Manaparai",8344464554,621306,Manaparai,10° 36.26' N,78° 25.03' E,160.30m
149,Tiruchirappalli,Srirangam,Srirangam,Permanent,Srirangam Munnicipal,Old Gh Opp,9629499308,620006,Srirangam,10° 51.48' N,78° 41.48' E,101.70m
150,Tiruchirappalli,Thuraiyur,Thuraiyur,Permanent,Thuraiyur Municipality,Old Municipality Office,8124506704,621010,Turaiyur,11° 8.78' N,78° 35.73' E,158.90m
151,Tiruchirappalli,Thuvakudi (m),Thiruverumbur,Permanent,Thuvakudi Municipality,"Thuvakudi Municipality Office,Tanjore Road, Thuvakudi",7810918789,620015,Thuvakudi,10° 45.13' N,78° 49.31' E,93.30m
152,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Permanent,Ariyamangalam Zonal Office,"Ariyamangalam Zonal Office,Palakkarai",9944931130,620001,Tiruchirappalli,10° 49.19' N,78° 41.72' E,589.10m
153,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Permanent,Trichy Head Quarters,"Trichy City Corporation,Contonment",9500869113,620001,Tiruchirappalli,10° 48.37' N,78° 41.08' E,120.30m
154,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Permanent,District Collector Office,"District Collector Office, Trichy",9566874755,620001,Tiruchirappalli,10° 48.00' N,78° 40.39' E,90.50m
155,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Permanent,Ponmalai Zonal,"Trichy Munisipality,Cantonment,Near Campion School Opp",9597641179,620001,Tiruchirappalli,10° 48.37' N,78° 41.10' E,29.20m
156,Tiruchirappalli,Tiruchirappalli,Tiruchirappalli,Permanent,Koabishekapuram,"Koabishekapuram Zonal Office,Vayalur Road",9865962872,620017,Tennur,10° 48.79' N,78° 40.65' E,22.70m
157,Tirunelveli,Ambasamudram,Ambasamudram,Permanent,Ambasamudram Municipality,Near Pookadai Stop,9940977622,627401,Ambasamudram,8° 42.17' N,77° 27.34' E,90.80m
158,Tirunelveli,Kadayanallur,Kadayanallur,Permanent,Kadayanallur Municipality,Main Road,9600894161,627751,Kadayanallur,9° 4.90' N,77° 20.79' E,202.70m
159,Tirunelveli,Palayamkottai,Palayamkottai,Permanent,Tn Govt Elcot Spr-Aadhaar Permanent Enrollment Center ( Melapalayam Corporation Zonal ),"Near Corporation Marriage Mahal, Melapalayam Corporation Zonal Office, Nethaji Road",9597422731,627005,Melapalayam,8° 41.92' N,77° 42.23' E,1617.00m
160,Tirunelveli,Palayamkottai,Palayamkottai,Permanent,Elcot Spr-Aadhaar Permanent Enrollment Center ( Palayamkottai Corporation Zonal ),"Near Tirunelveli Sidha College, Palay Corporation Zonal Office, Tiruvandrum Road, Palayamkottai",8124174415,627002,Palayamkottai,8° 43.37' N,77° 43.93' E,72.60m
161,Tirunelveli,Palayamkottai,Palayamkottai,Permanent,Colleterate,Collector Office Kokkirakulam,8870041640,627009,Tirunelveli Collectorate,8° 43.54' N,77° 42.95' E,74.60m
